A-17.16x20P,A-17_Theotokos_Portaitissa_Keeper_of_Portal,0.196333861,0.726666667,14.53333333,20,0.0197
A-17.20x24M,A-17_Theotokos_Portaitissa_Keeper_of_Portal,8.36524416,0.726666667,17.44,24,0.75
A-17.20x24P,A-17_Theotokos_Portaitissa_Keeper_of_Portal,0.28272076,0.726666667,17.44,24,0.0197
A-17.24x30M,A-17_Theotokos_Portaitissa_Keeper_of_Portal,13.070694,0.726666667,21.8,30,0.75
A-17.24x30P,A-17_Theotokos_Portaitissa_Keeper_of_Portal,0.441751187,0.726666667,21.8,30,0.0197
A-17.30x40M,A-17_Theotokos_Portaitissa_Keeper_of_Portal,23.23678933,0.726666667,29.06666667,40,0.75
A-17.30x40P,A-17_Theotokos_Portaitissa_Keeper_of_Portal,0.785335444,0.726666667,29.06666667,40,0.0197
A-17.40x50M,A-17_Theotokos_Portaitissa_Keeper_of_Portal,36.30748333,0.726666667,36.33333333,50,0.75
A-17.40x50P,A-17_Theotokos_Portaitissa_Keeper_of_Portal,1.227086631,0.726666667,36.33333333,50,0.0197
A-18.5x7M,A-18_Theotokos_Quick_to_Hear_(Greek),0.572112167,0.798333333,5.588333333,7,0.5
A-18.5x7P,A-18_Theotokos_Quick_to_Hear_(Greek),0.02642289,0.798333333,5.588333333,7,0.0197
A-18,A-18_Theotokos_Quick_to_Hear_(Greek),1.597503167,0.798333333,7.983333333,10,0.75
A-18P,A-18_Theotokos_Quick_to_Hear_(Greek),0.053924266,0.798333333,7.983333333,10,0.0197
A-18.11x14M,A-18_Theotokos_Quick_to_Hear_(Greek),3.131106207,0.798333333,11.17666667,14,0.75
A-18.11x14P,A-18_Theotokos_Quick_to_Hear_(Greek),0.105691561,0.798333333,11.17666667,14,0.0197
A-18.16x20M,A-18_Theotokos_Quick_to_Hear_(Greek),6.390012667,0.798333333,15.96666667,20,0.75
A-18.16x20P,A-18_Theotokos_Quick_to_Hear_(Greek),0.215697063,0.798333333,15.96666667,20,0.0197
A-18.20x24M,A-18_Theotokos_Quick_to_Hear_(Greek),9.20161824,0.798333333,19.16,24,0.75
A-18.20x24P,A-18_Theotokos_Quick_to_Hear_(Greek),0.310603771,0.798333333,19.16,24,0.0197
A-18.24x30M,A-18_Theotokos_Quick_to_Hear_(Greek),14.3775285,0.798333333,23.95,30,0.75
A-18.24x30P,A-18_Theotokos_Quick_to_Hear_(Greek),0.485318391,0.798333333,23.95,30,0.0197
A-18.30x40M,A-18_Theotokos_Quick_to_Hear_(Greek),25.56005067,0.798333333,31.93333333,40,0.75
A-18.30x40P,A-18_Theotokos_Quick_to_Hear_(Greek),0.862788251,0.798333333,31.93333333,40,0.0197
A-18.40x50M,A-18_Theotokos_Quick_to_Hear_(Greek),39.93757917,0.798333333,39.91666667,50,0.75
A-18.40x50P,A-18_Theotokos_Quick_to_Hear_(Greek),1.348106643,0.798333333,39.91666667,50,0.0197
A-19.5x7M,A-19_Theotokos_of_Sinai,0.5353815,0.745,5.215,7,0.5
A-19.5x7P,A-19_Theotokos_of_Sinai,0.024657687,0.745,5.215,7,0.0197
A-19,A-19_Theotokos_of_Sinai,1.4894445,0.745,7.45,10,0.75
A-19P,A-19_Theotokos_of_Sinai,0.05032181,0.745,7.45,10,0.0197
A-19.11x14M,A-19_Theotokos_of_Sinai,2.91931122,0.745,10.43,14,0.75
A-19.11x14P,A-19_Theotokos_of_Sinai,0.098630747,0.745,10.43,14,0.0197
A-19.16x20M,A-19_Theotokos_of_Sinai,5.957778,0.745,14.9,20,0.75
A-19.16x20P,A-19_Theotokos_of_Sinai,0.201287238,0.745,14.9,20,0.0197
A-19.20x24M,A-19_Theotokos_of_Sinai,8.57920032,0.745,17.88,24,0.75
A-19.20x24P,A-19_Theotokos_of_Sinai,0.289853623,0.745,17.88,24,0.0197
A-19.24x30M,A-19_Theotokos_of_Sinai,13.4050005,0.745,22.35,30,0.75
A-19.24x30P,A-19_Theotokos_of_Sinai,0.452896286,0.745,22.35,30,0.0197
A-19.30x40M,A-19_Theotokos_of_Sinai,23.831112,0.745,29.8,40,0.75
A-19.30x40P,A-19_Theotokos_of_Sinai,0.805148953,0.745,29.8,40,0.0197
A-19.40x50M,A-19_Theotokos_of_Sinai,37.2361125,0.745,37.25,50,0.75
A-19.40x50P,A-19_Theotokos_of_Sinai,1.258045239,0.745,37.25,50,0.0197
A-20.5x7M,A-20_Theotokos_Soothe_My_Sorrows,0.5698165,0.795,5.565,7,0.5
A-20.5x7P,A-20_Theotokos_Soothe_My_Sorrows,0.026312565,0.795,5.565,7,0.0197
A-20,A-20_Theotokos_Soothe_My_Sorrows,1.5907495,0.795,7.95,10,0.75
A-20P,A-20_Theotokos_Soothe_My_Sorrows,0.053699112,0.795,7.95,10,0.0197
A-20.11x14M,A-20_Theotokos_Soothe_My_Sorrows,3.11786902,0.795,11.13,14,0.75
A-20.11x14P,A-20_Theotokos_Soothe_My_Sorrows,0.10525026,0.795,11.13,14,0.0197
A-20.16x20M,A-20_Theotokos_Soothe_My_Sorrows,6.362998,0.795,15.9,20,0.75
A-20.16x20P,A-20_Theotokos_Soothe_My_Sorrows,0.214796449,0.795,15.9,20,0.0197
A-20.20x24M,A-20_Theotokos_Soothe_My_Sorrows,9.16271712,0.795,19.08,24,0.75
A-20.20x24P,A-20_Theotokos_Soothe_My_Sorrows,0.309306886,0.795,19.08,24,0.0197
A-20.24x30M,A-20_Theotokos_Soothe_My_Sorrows,14.3167455,0.795,23.85,30,0.75
A-20.24x30P,A-20_Theotokos_Soothe_My_Sorrows,0.48329201,0.795,23.85,30,0.0197
A-20.30x40M,A-20_Theotokos_Soothe_My_Sorrows,25.451992,0.795,31.8,40,0.75
A-20.30x40P,A-20_Theotokos_Soothe_My_Sorrows,0.859185795,0.795,31.8,40,0.0197
A-20.40x50M,A-20_Theotokos_Soothe_My_Sorrows,39.7687375,0.795,39.75,50,0.75
